application,approval,uid,gender,bal,prod_list,item,seq_len,item_neg
0,0,1855,2,53442,"36,29,93",33,3,62
1,0,876,1,90692,"4,69,26",8,3,93
1,1,1003,1,33030,"38,86,77",75,3,83
0,1,1246,1,59095,"22,70,6",1,3,8
0,1,1287,1,95605,"57,63,39",25,3,79
0,1,771,2,59704,"50,13,39",84,3,75
1,0,304,1,51345,"93,58,33",10,3,78
0,0,1242,1,87302,"76,8,16",2,3,24
0,0,1855,1,11284,"69,47,92",40,3,33
0,0,381,2,14580,"5,53,33",14,3,63
0,0,491,2,79472,"97,40,59",100,3,57
0,1,956,2,81545,"12,10,55",11,3,81
0,0,654,1,93845,"16,3,99",20,3,13
0,0,848,1,72664,"99,47,71",26,3,75
0,0,680,1,25169,"14,47,97",41,3,42
0,0,1822,1,46865,"30,83,17",28,3,19
1,1,265,1,67159,"28,87,72",72,3,15
1,1,474,2,17968,"51,56,81",55,3,27
1,1,1727,1,33112,"33,74,55",41,3,35
0,1,1068,1,12736,"1,81,96",60,3,35
1,0,1226,1,95814,"45,1,11",70,3,5
0,1,758,1,45561,"56,43,79",1,3,62
1,0,1997,1,86112,"46,50,46",62,3,52
1,0,1314,1,86672,"100,97,88",67,3,76
1,1,229,1,34819,"35,21,45",64,3,89
1,0,944,1,76756,"83,22,30",70,3,93
1,0,69,2,38048,"81,19,44",36,3,73
1,1,1521,2,31078,"9,41,22",37,3,59
1,0,826,2,69014,"68,20,71",19,3,5
1,1,843,1,93174,"42,35,95",83,3,90
1,1,1621,1,88352,"91,23,45",61,3,58
0,1,1739,1,16706,"4,8,62",58,3,10
0,1,38,1,87538,"4,47,88",21,3,66
0,1,1945,2,11818,"16,91,21",53,3,87
0,1,1075,2,95293,"76,87,60",64,3,25
0,1,1471,1,60231,"14,27,1",71,3,60
0,0,1464,1,68339,"30,63,61",75,3,27
0,0,669,2,25035,"16,14,71",51,3,40
1,0,8,1,94323,"4,33,88",15,3,24
0,0,908,1,46291,"58,36,38",22,3,28
1,1,1968,1,99920,"26,15,53",7,3,18
0,1,1607,2,29546,"32,80,71",88,3,12
1,0,176,2,28160,"33,35,17",78,3,90
1,1,1979,2,80877,"74,66,84",39,3,7
0,1,1331,1,90151,"23,17,60",77,3,40
0,1,1008,1,73866,"8,41,99",71,3,38
0,0,209,2,85777,"18,67,99",32,3,45
0,0,131,2,20431,"100,89,79",12,3,99
0,1,1642,2,70544,"23,73,88",9,3,53
0,0,1005,2,43707,"92,26,30",97,3,68
0,0,829,2,73362,"40,80,4",25,3,64
1,0,1809,1,87113,"51,1,52",57,3,0
0,1,887,1,11325,"44,96,50",99,3,85
0,1,1532,2,10185,"0,24,91",62,3,37
0,1,743,1,68248,"66,46,35",1,3,0
0,0,1847,2,28800,"11,93,60",75,3,54
0,1,902,2,51672,"44,73,45",36,3,51
0,1,1538,1,77261,"3,62,16",41,3,4
1,1,1878,2,79239,"82,52,64",66,3,98
0,1,1441,2,59910,"95,35,77",45,3,72
1,1,391,1,40668,"48,62,12",42,3,62
0,0,723,1,37328,"84,32,41",25,3,42
0,0,1337,2,54284,"34,21,91",51,3,42
1,0,1529,2,86784,"10,22,0",11,3,35
0,1,1368,1,42489,"23,36,24",55,3,45
1,1,1756,1,75867,"53,99,64",7,3,92
1,1,1111,2,18104,"10,4,73",89,3,61
1,0,1673,2,10722,"5,96,54",39,3,82
0,0,1412,2,71704,"71,1,31",41,3,85
1,1,53,2,85182,"51,63,3",21,3,76
0,1,382,2,70468,"11,30,84",99,3,95
1,0,1466,1,58896,"91,96,44",44,3,66
0,1,689,1,93439,"42,54,81",54,3,92
0,0,1551,2,89832,"46,54,72",59,3,1
0,0,837,2,13286,"77,41,52",63,3,58
1,0,1547,1,51950,"57,35,54",97,3,90
1,0,523,1,31059,"45,75,65",91,3,95
0,0,515,1,70261,"15,19,51",11,3,9
0,1,1624,2,61422,"63,24,48",71,3,21
1,1,0,1,26606,"86,52,84",80,3,31
1,0,1336,1,78711,"17,11,65",38,3,76
1,0,628,2,65085,"45,41,69",4,3,24
1,1,1265,1,50020,"99,42,37",100,3,65
1,1,1074,1,23188,"53,81,63",40,3,56
0,0,1917,1,62212,"31,49,48",73,3,12
1,0,1899,2,48239,"96,36,39",48,3,65
0,1,943,2,16418,"62,66,54",39,3,95
0,0,5,1,83441,"32,63,34",72,3,87
1,0,1956,1,91056,"86,87,48",49,3,64
1,0,187,1,75033,"42,77,84",54,3,74
1,1,1085,1,81013,"49,4,19",99,3,35
0,1,231,2,99962,"53,23,19",12,3,17
0,0,34,1,46325,"11,75,63",55,3,99
1,1,971,2,14848,"8,84,70",98,3,74
